epoch,train_loss,val_dice,val_bce
1,1.192873,0.374394,0.579714
2,0.556725,0.454754,0.554136
3,0.464590,0.484467,0.557816
4,0.445288,0.469999,0.554341
5,0.394870,0.436453,0.589288
6,0.402375,0.558518,0.537491
7,0.365753,0.563957,0.534061
8,0.344913,0.520926,0.542183
9,0.363586,0.517383,0.535936
10,0.351603,0.568560,0.531562
11,0.332091,0.537001,0.549511
12,0.342205,0.624141,0.524560
13,0.347720,0.522723,0.551432
14,0.334625,0.575129,0.534351
15,0.363686,0.586324,0.540083
16,0.334560,0.614147,0.535431
17,0.323067,0.606022,0.535536
18,0.340916,0.583014,0.532733
19,0.331671,0.607281,0.537593
20,0.342038,0.616262,0.532902
